Date,PR,GHI,PR_MA30,Year,Month,Budget_PR,Above_Budget
2020-09-16,66.69350044,5.193391667,72.515921901,2020,9,73.3088,-6.615299560000011
2020-09-17,65.98626146,4.751516667,71.93950197366667,2020,9,73.3088,-7.322538540000011
2020-09-18,65.81474179,3.082125,71.77320330133333,2020,9,73.3088,-7.494058210000006
2020-09-19,71.86334764,1.961641667,71.76824589766667,2020,9,73.3088,-1.4454523600000044
2020-09-20,76.09235854,5.438716667,72.30386164333335,2020,9,73.3088,2.7835585400000014
2020-09-21,70.73095945,5.726066667,72.481776214,2020,9,73.3088,-2.577840550000005
2020-09-22,72.61577295,5.455016667,72.19405332766668,2020,9,73.3088,-0.693027050000012
2020-09-23,77.03613837,5.434108333,72.00148791400001,2020,9,73.3088,3.7273383699999982
2020-09-24,80.76889776,6.261908333,72.434791898,2020,9,73.3088,7.4600977599999965
2020-09-25,80.78640954,3.901775,73.02713673733335,2020,9,73.3088,7.477609539999989
2020-09-26,71.77520677,3.824825,72.96462608166667,2020,9,73.3088,-1.5335932300000081
2020-09-27,70.39030075,3.45985,72.60778828933333,2020,9,73.3088,-2.9184992500000106
2020-09-28,60.58774693,3.970241667,72.47130875333333,2020,9,73.3088,-12.721053070000004
2020-09-29,62.84506203,4.564616667,72.03149632466668,2020,9,73.3088,-10.463737970000004
2020-09-30,83.18899003,5.392108333,72.04970322533333,2020,9,73.3088,9.880190029999994
2020-10-01,62.73674669,4.0125,71.56529912166667,2020,10,73.3088,-10.572053310000008
2020-10-02,73.71892061,2.411141667,71.34741963300002,2020,10,73.3088,0.4101206099999928
2020-10-03,72.4401401,5.345891667,71.124926042,2020,10,73.3088,-0.8686599000000115
2020-10-04,76.93894479,4.904075,71.546947583,2020,10,73.3088,3.6301447899999886
2020-10-05,60.24167536,3.05,70.904992353,2020,10,73.3088,-13.067124640000003
2020-10-06,80.87436482,3.399941667,71.06799997566667,2020,10,73.3088,7.565564819999992
2020-10-07,84.47100223,1.767241667,71.709251166,2020,10,73.3088,11.162202229999991
2020-10-08,84.98011969,4.223466667,71.77525082966667,2020,10,73.3088,11.67131968999999
2020-10-09,63.67023399,1.825283333,71.53716039033334,2020,10,73.3088,-9.638566010000005
2020-10-10,80.63019308,2.645533333,72.04706409233333,2020,10,73.3088,7.321393079999993
2020-10-11,75.48120255,2.573858333,72.091176049,2020,10,73.3088,2.172402550000001
2020-10-12,74.21314908,4.169058333,72.44237304766666,2020,10,73.3088,0.9043490799999887
2020-10-13,84.9617997,4.326308333,72.70451740666665,2020,10,73.3088,11.652999699999995
2020-10-14,67.80043625,2.54325,72.747622978,2020,10,73.3088,-5.508363750000001
2020-10-15,69.25622925,2.999,72.98636175466666,2020,10,73.3088,-4.052570750000001
2020-10-16,70.50378529,2.124833333,73.11337124966667,2020,10,73.3088,-2.805014710000009
2020-10-17,69.40774697,2.839691667,73.22742076666667,2020,10,73.3088,-3.90105303
2020-10-18,74.01298316,2.898758333,73.50069547899999,2020,10,73.3088,0.7041831599999995
2020-10-19,70.06526772,4.856016667,73.44075948166666,2020,10,73.3088,-3.243532280000011
2020-10-20,63.29134117,4.438566667,73.01405890266666,2020,10,73.3088,-10.017458830000002
2020-10-21,83.25306691,3.001575,73.43146248466668,2020,10,73.3088,9.944266909999996
2020-10-22,82.907448,5.948458333,73.77451831966667,2020,10,73.3088,9.598647999999997
2020-10-23,60.71307876,5.029258333,73.23041633266666,2020,10,73.3088,-12.595721240000003
2020-10-24,62.309339,5.099741667,72.61509770733332,2020,10,73.3088,-10.999461000000004
2020-10-25,77.38291574,2.715316667,72.50164791399999,2020,10,73.3088,4.074115739999996
2020-10-26,78.27408102,5.14175,72.71827705566666,2020,10,73.3088,4.965281019999992
2020-10-27,69.67418695,3.935491667,72.69440659566666,2020,10,73.3088,-3.6346130499999987
2020-10-28,80.49438618,2.206325,73.35796123733333,2020,10,73.3088,7.185586180000001
2020-10-29,84.92437313,3.794083333,74.093938274,2020,10,73.3088,11.615573130000001
2020-10-30,81.17184293,4.33635,74.02670003733333,2020,10,73.3088,7.863042929999992
2020-10-31,77.81053225,3.985316667,74.529159556,2020,10,73.3088,4.501732249999989
2020-11-01,66.21683521,4.631875,74.27909004266667,2020,11,73.3088,-7.091964790000006
2020-11-02,82.55276598,3.199641667,74.616177572,2020,11,73.3088,9.243965979999999
2020-11-03,84.68920224,5.397516667,74.874519487,2020,11,73.3088,11.380402239999995
2020-11-04,75.06431608,3.881266667,75.368607511,2020,11,73.3088,1.7555160799999925
2020-11-05,74.90404968,5.158883333,75.16959700633333,2020,11,73.3088,1.595249679999995
2020-11-06,62.56887417,2.401275,74.439526071,2020,11,73.3088,-10.739925830000004
2020-11-07,70.66678186,4.188108333,73.96241480999998,2020,11,73.3088,-2.6420181400000047
2020-11-08,62.12552221,4.948775,73.91092441733333,2020,11,73.3088,-11.183277790000005
2020-11-09,75.87799173,3.40385,73.75251770566666,2020,11,73.3088,2.56919173
2020-11-10,70.46339039,3.473483333,73.58525730033332,2020,11,73.3088,-2.8454096100000044
2020-11-11,81.40364062,3.210316667,73.82494035166668,2020,11,73.3088,8.09484062
2020-11-12,60.88355471,4.436241667,73.02233218533334,2020,11,73.3088,-12.425245290000007
2020-11-13,69.39930931,4.856416667,73.07562795400001,2020,11,73.3088,-3.9094906899999984
2020-11-14,73.55679318,5.4906,73.21898008499998,2020,11,73.3088,0.2479931799999946
2020-11-15,84.10658453,4.450458333,73.67240672633334,2020,11,73.3088,10.797784530000001
2020-11-16,74.71188286,4.598091667,73.84921125599999,2020,11,73.3088,1.4030828599999978
2020-11-17,64.97284081,5.437575,73.54787317766666,2020,11,73.3088,-8.335959190000011
2020-11-18,69.81664739,3.887516667,73.53958583333333,2020,11,73.3088,-3.492152610000005
2020-11-19,62.28045255,3.99265,73.50588954599999,2020,11,73.3088,-11.028347450000005
2020-11-20,79.63375104,4.206191667,73.38524568366665,2020,11,73.3088,6.324951040000002
2020-11-21,64.55297305,3.515766667,72.77342985199999,2020,11,73.3088,-8.75582695
2020-11-22,61.82516432,4.502883333,72.81049937066668,2020,11,73.3088,-11.483635680000006
2020-11-23,62.58018588,3.430041667,72.8195276,2020,11,73.3088,-10.728614120000003
2020-11-24,61.50498092,4.42425,72.29026310600001,2020,11,73.3088,-11.803819080000004
2020-11-25,80.42356437,4.824158333,72.361912551,2020,11,73.3088,7.114764369999989
2020-11-26,62.05539273,4.384575,72.10795274366666,2020,11,73.3088,-11.253407270000004
2020-11-27,80.88446781,4.1413,72.12095546466666,2020,11,73.3088,7.575667809999999
2020-11-28,75.32861428,4.05465,71.80109683633333,2020,11,73.3088,2.0198142799999914
2020-11-29,63.04094468,2.462508333,71.19673356133333,2020,11,73.3088,-10.267855320000002
2020-11-30,62.19627712,3.986191667,70.67625839033333,2020,11,73.3088,-11.112522880000007
2020-12-01,68.55667082,3.422875,70.75425291066666,2020,12,73.3088,-4.752129180000011
2020-12-02,66.13656954,4.100191667,70.20704636266667,2020,12,73.3088,-7.172230460000009
2020-12-03,76.05161584,5.60325,69.919126816,2020,12,73.3088,2.7428158399999916
2020-12-04,72.24697723,5.626008333,69.825215521,2020,12,73.3088,-1.0618227700000062
2020-12-05,77.03525004,5.074833333,69.89625553299999,2020,12,73.3088,3.726450039999989
2020-12-06,70.84967242,5.420141667,70.17228214133334,2020,12,73.3088,-2.4591275800000005
2020-12-07,82.58404325,3.066733333,70.56952418766667,2020,12,73.3088,9.275243249999988
2020-12-08,79.51818541,4.480466667,71.14927962766666,2020,12,73.3088,6.209385409999996
2020-12-09,74.40351479,3.3859,71.10013039633333,2020,12,73.3088,1.0947147899999976
2020-12-10,81.67746184,3.428716667,71.473932778,2020,12,73.3088,8.368661840000001
2020-12-11,75.57106335,2.8102,71.27951353566667,2020,12,73.3088,2.262263349999998
2020-12-12,82.09009491,3.284166667,71.986398209,2020,12,73.3088,8.78129491
2020-12-13,75.25616007,2.810166667,72.18162656766667,2020,12,73.3088,1.947360070000002
2020-12-14,71.20318243,4.296166667,72.10317287599999,2020,12,73.3088,-2.105617570000007
2020-12-15,67.29291394,4.15135,71.54271718966667,2020,12,73.3088,-6.01588606
2020-12-16,79.91800065,4.663783333,71.71625444933333,2020,12,73.3088,6.609200649999991
2020-12-17,80.04062009,4.445075,72.21851375866666,2020,12,73.3088,6.731820089999999
2020-12-18,76.00328045,3.599541667,72.42473486066666,2020,12,73.3088,2.6944804500000004
2020-12-19,78.98540616,3.687291667,72.98156664766665,2020,12,73.3088,5.6766061599999915
2020-12-20,77.73573139,3.353266667,72.918299326,2020,12,73.3088,4.426931389999993
2020-12-21,72.06306798,4.921075,73.16863582366666,2020,12,73.3088,-1.2457320200000055
2020-12-22,64.03572444,2.876825,73.242321161,2020,12,73.3088,-9.27307556000001
2020-12-23,82.28081061,3.4587,73.899008652,2020,12,73.3088,8.972010609999998
2020-12-24,83.62682548,4.203441667,74.63640347066666,2020,12,73.3088,10.318025479999989
2020-12-25,62.18401975,4.012741667,74.02841865,2020,12,73.3088,-11.124780250000008
2020-12-26,80.77043024,4.949166667,74.65225323366667,2020,12,73.3088,7.461630239999991
2020-12-27,66.81759374,4.482958333,74.18335743133333,2020,12,73.3088,-6.4912062599999985
2020-12-28,60.11023343,4.528641667,73.67607806966666,2020,12,73.3088,-13.198566570000004
2020-12-29,64.9488999,4.800583333,73.739676577,2020,12,73.3088,-8.359900100000004
2020-12-30,77.60357917,2.427341667,74.253253312,2020,12,73.3088,4.294779169999998
2020-12-31,63.36967939,3.629525,74.08035359766667,2020,12,73.3088,-9.939120610000003
2021-01-01,83.66641687,2.786683333,74.664681842,2021,1,73.3088,10.357616870000001
2021-01-02,61.51536333,3.874108333,74.18014009166669,2021,1,73.3088,-11.793436670000006
2021-01-03,84.49778453,4.827366667,74.588500335,2021,1,73.3088,11.188984529999999
2021-01-04,78.41415728,4.065383333,74.63446390966668,2021,1,73.3088,5.105357279999993
2021-01-05,80.18236383,4.0429,74.94555362333332,2021,1,73.3088,6.873563829999995
2021-01-06,84.90721676,3.949783333,75.02299274033334,2021,1,73.3088,11.598416759999992
2021-01-07,75.79212097,4.947341667,74.89879059233333,2021,1,73.3088,2.483320969999994
2021-01-08,64.43049471,5.051108333,74.56635658966665,2021,1,73.3088,-8.87830529
2021-01-09,61.68552125,5.2389,73.89995857000001,2021,1,73.3088,-11.623278750000004
2021-01-10,64.24337066,4.8213,73.52236881366667,2021,1,73.3088,-9.065429340000009
2021-01-11,73.86084303,4.975141667,73.24806041766666,2021,1,73.3088,0.552043029999993
2021-01-12,60.14697289,4.866616667,72.744420845,2021,1,73.3088,-13.161827110000004
2021-01-13,82.0148182,5.033091667,73.104808704,2021,1,73.3088,8.706018199999988
2021-01-14,82.79713506,4.440375,73.62161607466666,2021,1,73.3088,9.488335059999997
2021-01-15,72.91756073,4.514583333,73.38826807733334,2021,1,73.3088,-0.3912392699999998
2021-01-16,69.19325224,4.349475,73.026689149,2021,1,73.3088,-4.115547759999998
2021-01-17,81.63869705,4.833258333,73.214536369,2021,1,73.3088,8.32989705
2021-01-18,65.7849578,5.544341667,72.77452142366668,2021,1,73.3088,-7.523842200000004
2021-01-19,64.93065695,3.88405,72.34768560900001,2021,1,73.3088,-8.378143050000006
2021-01-20,61.89388664,3.496041667,72.00871289766668,2021,1,73.3088,-11.414913360000007
2021-01-21,63.66000166,3.969733333,71.996188805,2021,1,73.3088,-9.648798340000006
2021-01-22,60.2873887,3.324808333,71.26307474133334,2021,1,73.3088,-13.021411300000004
2021-01-23,75.26188888,3.377008333,70.98424352133334,2021,1,73.3088,1.9530888799999957
2021-01-24,66.90631035,3.681925,71.14165320800001,2021,1,73.3088,-6.402489650000007
2021-01-25,64.09811909,4.29905,70.585909503,2021,1,73.3088,-9.210680910000008
2021-01-26,66.81909322,4.239008333,70.58595948566668,2021,1,73.3088,-6.489706780000006
2021-01-27,63.86066734,4.010408333,70.71097394933332,2021,1,73.3088,-9.448132660000006
2021-01-28,69.44407808,4.213233333,70.86081322199999,2021,1,73.3088,-3.864721920000008
